0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Study,Treatment,Virus,VirusID,AssayID,Lab,Poscrit,VRC01.23LS 0.5mg/ml,VRC01.23LS 0.1mg/ml,PGT151,VRC34.01 ,CAP248-2B,ACS202,VRC01,CH01-31,PGT151_4A/293i,CH235.12,VRC34.01,1-18,VRC01.23LS
H704,a,H704_3000_240_RE_pbsga002_s,AMP264,TP02-199,a,50%,0.562,,>25,0.145,>25,>25,1.523,,,,,,
V704,a,V704_0372_250_RE_pblib001_s,AMP268,TP02-200,a,50%,0.062,,>25,>25,>25,>25,0.539,,,,,,
H704,a,H704_3000_240_RE_pbsga001_s,AMP277,TP02-201,a,50%,0.392,,>25,0.281,>25,>25,1.094,,,,,,
V704,a,V704_0372_250_RE_pblib002_s,AMP278,,a,50%,,,,,,,,,,,,,
V704,a,V704_0128_220_RE_pblib002_s,AMP281,TP02-202,a,50%,0.034,,>25,2.044,>25,>25,0.181,,,,,,
H704,a,H704_0726_080sN,AMP12,SM02-13; TP02-131,a,80%,1.177,1.827,>25,>25,>25,>25,15.44,>25,,,,,
H704,a,H704_1535_030sN,AMP14,SM02-14; TP02-132,a,80%,0.054,0.052,>25,1.36,>25,5.17,0.367,0.295,,,,,
H704,a,H704_0911_150sN,AMP16,SM02-15; TP02-133,a,80%,3.313,3.259,>25,>25,>25,>25,5.82,>25,,,,,
H704,a,H704_0907_130sN,AMP18,SM02-16; TP02-134,a,80%,0.053,0.075,0.05,0.99,>25,3.53,1.07,3.941,,,,,
H704,a,H704_1429_090_eN1A,AMP28,SM02-17; TP02-135,a,80%,0.212,0.248,>25,>25,>25,>25,0.886,1.366,,,,,
H704,a,H704_1429_090_eN2G,AMP30,SM02-18; TP02-136,a,80%,0.318,0.352,>25,>25,>25,>25,0.732,2.028,,,,,
H704,a,H704_0496_040sN,AMP41,SM02-19; TP02-137,a,80%,2.091,1.994,>25,>25,>25,>25,15.46,5.985,,,,,
H704,a,H704_2788_060eN_12,AMP46,SM02-20; TP02-138,a,80%,0.735,0.839,>25,>25,>25,>25,4.513,4.824,,,,,
H704,a,H704_2767_070sN,AMP58,SM02-21; TP02-139,a,80%,0.184,0.211,0.854,>25,>25,>25,7.32,>25,,,,,
H704,a,H704_2788_060eN_04,AMP68,SM02-22; TP02-140,a,80%,0.714,0.718,>25,>25,>25,>25,6.07,4.952,,,,,
H704,a,H704_1706_050sN,AMP285,SM02-23; TP02-141,a,80%,0.161,0.382,>25,>25,>25,>25,1.018,1.498,,,,,
